year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,5,2.0,50.0,5644.8,2.0,5.6,6.0,26.205,36.8920282542886,191.16504854368932
2010,4,5,2.0,50.0,5644.8,3.0,30.1,30.0,26.127,36.7991927346115,200.7766990291262
2010,4,5,2.0,50.0,5644.8,5.0,60.5,60.0,19.018,36.2452068617558,170.3883495145631
2010,4,5,2.0,50.0,5644.8,6.0,90.0,89.0,14.956,35.55095862764884,43.10679611650485
2010,4,5,2.0,50.0,5644.8,8.0,119.8,119.0,14.037,35.442986881937436,13.009708737864079
2010,4,5,2.0,50.0,5644.8,9.0,149.4,148.0,13.372,35.373360242179615,27.475728155339805
2010,4,5,2.0,50.0,5644.8,11.0,201.3,200.0,12.054,35.213925327951564,42.03883495145631
2010,4,5,2.0,50.0,5644.8,12.0,250.3,249.0,11.086,35.08678102926337,16.213592233009706
2010,4,5,2.0,50.0,5644.8,13.0,299.0,297.0,10.406,35.011099899091825,24.563106796116504
2010,4,5,2.0,50.0,5644.8,15.0,350.7,348.0,9.5217,34.910191725529764,27.961165048543688
2010,4,5,2.0,50.0,5644.8,17.0,400.4,398.0,8.7877,34.834510595358225,28.932038834951456
2010,4,5,2.0,50.0,5644.8,18.0,449.2,446.0,7.9788,34.75580221997981,39.02912621359223
2010,4,5,2.0,50.0,5644.8,20.0,549.9,546.0,6.7869,34.64581231079717,63.203883495145625
2010,4,5,2.0,50.0,5644.8,21.0,650.9,646.0,5.8188,34.56811301715439,86.69902912621359
2010,4,5,2.0,50.0,5644.8,23.0,749.8,744.0,5.1334,34.52875882946518,103.00970873786407
2010,4,5,2.0,50.0,5644.8,24.0,850.8,844.0,4.6156,34.527749747729565,118.64077669902913
2010,4,5,2.0,50.0,5644.8,26.0,949.9,942.0,4.2619,34.56004036326943,132.33009708737865
2010,4,5,2.0,50.0,5644.8,27.0,1050.8,1042.0,4.0564,34.62462159434914,140.58252427184468
2010,4,5,2.0,50.0,5644.8,29.0,1150.3,1140.0,3.9427,34.6912209889001,150.58252427184468
2010,4,5,2.0,50.0,5644.8,30.0,1250.2,1239.0,3.8676,34.7648839556004,163.873786407767
2010,4,5,2.0,50.0,5644.8,32.0,1349.8,1338.0,3.8011,34.80524722502523,171.6504854368932
2010,4,5,2.0,50.0,5644.8,33.0,1451.2,1438.0,3.7767,34.86680121089808,182.4271844660194
2010,4,5,2.0,50.0,5644.8,35.0,1551.1,1536.0,3.7129,34.90413723511604,193.3980582524272
2010,4,5,2.0,50.0,5644.8,36.0,1699.5,1683.0,3.603,34.935418768920286,203.39805825242718
