year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,3,29,21.0,10.0,5204.3,1.0,5.3,5.0,23.444,36.122098890010086,204.1747572815534
2010,3,29,21.0,10.0,5204.3,2.0,39.1,39.0,23.433,36.12108980827447,205.4368932038835
2010,3,29,21.0,10.0,5204.3,3.0,74.4,74.0,18.911,35.79112008072654,234.85436893203882
2010,3,29,21.0,10.0,5204.3,4.0,99.2,99.0,17.904,35.762865792129155,212.33009708737865
2010,3,29,21.0,10.0,5204.3,5.0,199.4,198.0,14.223,35.3531786074672,191.84466019417476
2010,3,29,21.0,10.0,5204.3,6.0,300.7,299.0,11.568,35.021190716448025,170.0970873786408
2010,3,29,21.0,10.0,5204.3,7.0,400.1,397.0,9.3412,34.76589303733602,159.70873786407768
2010,3,29,21.0,10.0,5204.3,8.0,501.4,498.0,7.3776,34.605449041372346,129.02912621359224
2010,3,29,21.0,10.0,5204.3,9.0,698.7,693.0,5.2224,34.48738647830474,135.63106796116506
2010,3,29,21.0,10.0,5204.3,10.0,899.2,892.0,4.1353,34.489404641775984,156.11650485436894
2010,3,29,21.0,10.0,5204.3,11.0,1098.9,1089.0,3.7148,34.583249243188696,170.19417475728156
2010,3,29,21.0,10.0,5204.3,12.0,1299.9,1288.0,3.6809,34.71241170534813,177.47572815533982
2010,3,29,21.0,10.0,5204.3,13.0,1501.2,1486.0,3.5595,34.808274470232085,189.02912621359224
2010,3,29,21.0,10.0,5204.3,14.0,1699.5,1682.0,3.4723,34.87891019172553,203.7864077669903
2010,3,29,21.0,10.0,5204.3,15.0,1898.9,1878.0,3.2771,-999,214.85436893203885
2010,3,29,21.0,10.0,5204.3,16.0,2200.4,2175.0,2.9805,-999,223.6893203883495
2010,3,29,21.0,10.0,5204.3,17.0,2498.6,2468.0,2.6681,34.90615539858729,224.5631067961165
2010,3,29,21.0,10.0,5204.3,18.0,2802.4,2766.0,2.5137,34.90514631685166,226.11650485436894
2010,3,29,21.0,10.0,5204.3,19.0,3201.0,3157.0,2.4153,34.91120080726539,225.53398058252426
2010,3,29,21.0,10.0,5204.3,20.0,3599.2,3546.0,2.386,34.92028254288598,221.94174757281556
2010,3,29,21.0,10.0,5204.3,21.0,4000.2,3938.0,2.3691,34.91927346115035,221.45631067961168
2010,3,29,21.0,10.0,5204.3,22.0,4400.1,4328.0,2.3887,34.91927346115035,222.91262135922332
2010,3,29,21.0,10.0,5204.3,23.0,4798.2,4715.0,2.42,34.91826437941473,222.1359223300971
2010,3,29,21.0,10.0,5204.3,24.0,5194.3,5100.0,2.4633,34.91624621594349,221.74757281553397
