year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,11,9.0,45.0,4577.4,1.0,5.0,5.0,28.521,35.48133198789102,186.99029126213594
2010,4,11,9.0,45.0,4577.4,2.0,50.1,50.0,16.909,35.76892028254288,139.70873786407768
2010,4,11,9.0,45.0,4577.4,3.0,79.5,79.0,15.914,35.71241170534813,123.78640776699028
2010,4,11,9.0,45.0,4577.4,4.0,99.6,99.0,15.688,35.689202825428865,118.7378640776699
2010,4,11,9.0,45.0,4577.4,5.0,149.7,149.0,15.226,35.62663975782038,114.07766990291262
2010,4,11,9.0,45.0,4577.4,6.0,200.3,199.0,14.372,35.5045408678103,76.40776699029126
2010,4,11,9.0,45.0,4577.4,7.0,249.1,248.0,13.286,35.349142280524724,71.45631067961165
2010,4,11,9.0,45.0,4577.4,8.0,300.1,298.0,11.529,35.13017154389505,69.90291262135922
2010,4,11,9.0,45.0,4577.4,9.0,349.8,348.0,10.183,34.98789101917256,43.10679611650485
2010,4,11,9.0,45.0,4577.4,10.0,424.8,422.0,8.0379,34.74571140262361,85.63106796116504
2010,4,11,9.0,45.0,4577.4,11.0,500.2,497.0,7.2349,34.66902119071645,101.35922330097087
2010,4,11,9.0,45.0,4577.4,12.0,600.1,596.0,6.3884,34.60242179616549,95.14563106796116
2010,4,11,9.0,45.0,4577.4,13.0,700.2,695.0,5.4268,34.539858728557014,114.85436893203882
2010,4,11,9.0,45.0,4577.4,14.0,999.5,992.0,4.3182,34.65186680121089,141.2621359223301
2010,4,11,9.0,45.0,4577.4,15.0,1299.7,1289.0,4.3376,34.92028254288598,189.6116504854369
2010,4,11,9.0,45.0,4577.4,16.0,1599.8,1585.0,4.0121,34.991927346115034,217.76699029126215
2010,4,11,9.0,45.0,4577.4,17.0,1899.9,1881.0,3.613,34.993945509586275,229.90291262135923
2010,4,11,9.0,45.0,4577.4,18.0,2299.5,2274.0,3.1103,34.96871846619576,228.7378640776699
2010,4,11,9.0,45.0,4577.4,19.0,2699.4,2667.0,2.7924,34.95055499495459,228.25242718446603
2010,4,11,9.0,45.0,4577.4,20.0,3100.4,3061.0,2.6028,34.93743693239152,226.6990291262136
2010,4,11,9.0,45.0,4577.4,21.0,3500.0,3452.0,2.4512,34.92835519677094,225.72815533980582
2010,4,11,9.0,45.0,4577.4,22.0,3900.2,3843.0,2.3589,34.92028254288598,229.2233009708738
2010,4,11,9.0,45.0,4577.4,23.0,4299.1,4233.0,2.2722,34.909182643794146,230.58252427184465
2010,4,11,9.0,45.0,4577.4,24.0,4567.4,4494.0,2.2214,34.90312815338042,230.0
