year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,12,20.0,20.0,5160.8,1.0,6.0,6.0,28.774,35.08476286579213,186.99029126213594
2010,4,12,20.0,20.0,5160.8,2.0,30.1,30.0,27.702,35.70030272452068,192.91262135922332
2010,4,12,20.0,20.0,5160.8,3.0,59.7,59.0,16.255,35.74873864783047,130.29126213592235
2010,4,12,20.0,20.0,5160.8,4.0,100.7,100.0,15.709,35.69424823410696,108.83495145631068
2010,4,12,20.0,20.0,5160.8,5.0,149.7,149.0,15.136,35.61553985872856,92.42718446601941
2010,4,12,20.0,20.0,5160.8,6.0,250.2,249.0,11.988,35.18768920282543,72.52427184466019
2010,4,12,20.0,20.0,5160.8,7.0,350.1,348.0,9.8366,34.941473259334,58.155339805825236
2010,4,12,20.0,20.0,5160.8,8.0,499.7,496.0,6.7556,34.60343087790111,134.36893203883494
2010,4,12,20.0,20.0,5160.8,9.0,649.8,645.0,5.4205,34.520686175580224,141.6504854368932
2010,4,12,20.0,20.0,5160.8,10.0,800.1,794.0,4.7363,34.53380423814329,143.3980582524272
2010,4,12,20.0,20.0,5160.8,11.0,1000.8,993.0,4.4997,34.66902119071645,148.25242718446603
2010,4,12,20.0,20.0,5160.8,12.0,1200.6,1191.0,4.4838,34.78102926337033,162.03883495145632
2010,4,12,20.0,20.0,5160.8,13.0,1400.8,1388.0,4.3494,34.98688193743693,209.3203883495146
2010,4,12,20.0,20.0,5160.8,14.0,1599.3,1584.0,4.2152,35.00403632694248,220.3883495145631
2010,4,12,20.0,20.0,5160.8,15.0,1898.7,1880.0,3.8681,35.00706357214934,232.23300970873788
2010,4,12,20.0,20.0,5160.8,16.0,2201.5,2178.0,3.3218,34.98587285570131,234.46601941747574
2010,4,12,20.0,20.0,5160.8,17.0,2501.0,2473.0,2.9461,34.9606458123108,228.7378640776699
2010,4,12,20.0,20.0,5160.8,18.0,2799.7,2766.0,2.7106,34.946518668012104,226.99029126213594
2010,4,12,20.0,20.0,5160.8,19.0,3098.2,3059.0,2.5545,34.935418768920286,229.02912621359224
2010,4,12,20.0,20.0,5160.8,20.0,3500.2,3452.0,2.4323,34.92734611503532,228.93203883495147
2010,4,12,20.0,20.0,5160.8,21.0,3899.1,3842.0,2.3494,34.91826437941473,230.77669902912623
2010,4,12,20.0,20.0,5160.8,22.0,4299.9,4233.0,2.2514,34.907164480322905,231.26213592233012
2010,4,12,20.0,20.0,5160.8,23.0,4699.8,4623.0,2.1957,34.898082744702315,230.09708737864077
2010,4,12,20.0,20.0,5160.8,24.0,5150.8,5062.0,2.1972,34.89202825428859,229.41747572815535
