year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,15,19.0,13.0,5078.2,1.0,5.3,5.0,30.438,34.79717457114027,182.13592233009712
2010,4,15,19.0,13.0,5078.2,2.0,60.2,60.0,19.658,35.926337033299696,127.0873786407767
2010,4,15,19.0,13.0,5078.2,3.0,100.6,100.0,16.255,35.74571140262361,105.24271844660193
2010,4,15,19.0,13.0,5078.2,4.0,174.5,173.0,14.979,35.58930373360242,98.15533980582524
2010,4,15,19.0,13.0,5078.2,5.0,249.5,248.0,12.441,35.252270433905146,63.203883495145625
2010,4,15,19.0,13.0,5078.2,6.0,324.9,323.0,9.9032,34.97880928355197,53.495145631067956
2010,4,15,19.0,13.0,5078.2,7.0,400.2,398.0,8.5321,34.81029263370333,98.3495145631068
2010,4,15,19.0,13.0,5078.2,8.0,500.0,497.0,7.2162,34.685166498486375,95.92233009708737
2010,4,15,19.0,13.0,5078.2,9.0,649.6,645.0,5.8524,34.58627648839556,112.13592233009709
2010,4,15,19.0,13.0,5078.2,10.0,800.5,795.0,4.9206,34.58930373360242,125.63106796116504
2010,4,15,19.0,13.0,5078.2,11.0,949.7,942.0,4.609,34.636730575176585,140.0
2010,4,15,19.0,13.0,5078.2,12.0,1099.5,1091.0,4.5667,34.715438950555,145.92233009708738
2010,4,15,19.0,13.0,5078.2,13.0,1299.9,1289.0,4.5,34.90312815338042,179.51456310679612
2010,4,15,19.0,13.0,5078.2,14.0,1500.5,1487.0,4.1693,34.976791120080726,205.14563106796118
2010,4,15,19.0,13.0,5078.2,15.0,1700.0,1684.0,3.9357,34.99697275479314,219.12621359223303
2010,4,15,19.0,13.0,5078.2,16.0,1899.2,1880.0,3.6462,34.99697275479314,225.53398058252426
2010,4,15,19.0,13.0,5078.2,17.0,2300.4,2275.0,3.2103,34.98082744702321,229.80582524271847
2010,4,15,19.0,13.0,5078.2,18.0,2702.2,2670.0,2.8214,34.957618567103935,226.60194174757282
2010,4,15,19.0,13.0,5078.2,19.0,3099.9,3060.0,2.6087,34.943491422805245,225.72815533980582
2010,4,15,19.0,13.0,5078.2,20.0,3499.5,3452.0,2.4634,34.93239152371342,223.7864077669903
2010,4,15,19.0,13.0,5078.2,21.0,3900.2,3843.0,2.3705,34.92230070635721,226.99029126213594
2010,4,15,19.0,13.0,5078.2,22.0,4300.7,4234.0,2.2948,34.91321897073663,226.79611650485438
2010,4,15,19.0,13.0,5078.2,23.0,4699.8,4623.0,2.2323,34.902119071644805,220.4854368932039
2010,4,15,19.0,13.0,5078.2,24.0,5068.2,4981.0,2.1989,34.89303733602422,224.85436893203885
