year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,17,9.0,59.0,1041.0,1.0,5.2,5.0,29.62,34.419004621945795,164.65043478260873
2010,4,17,9.0,59.0,1041.0,2.0,40.4,40.0,21.566,35.58794951720967,153.12695652173915
2010,4,17,9.0,59.0,1041.0,3.0,74.8,74.0,17.67,35.53760245803301,93.61043478260869
2010,4,17,9.0,59.0,1041.0,4.0,125.2,124.0,16.44,35.444997616777336,82.73739130434782
2010,4,17,9.0,59.0,1041.0,5.0,174.9,174.0,15.471,35.33711981561653,74.04434782608696
2010,4,17,9.0,59.0,1041.0,6.0,224.7,223.0,13.257,35.04458460551573,45.00260869565218
2010,4,17,9.0,59.0,1041.0,7.0,275.2,273.0,11.208,34.79782557302906,39.95478260869565
2010,4,17,9.0,59.0,1041.0,8.0,324.8,323.0,10.001,34.64634681508314,43.78434782608696
2010,4,17,9.0,59.0,1041.0,9.0,374.7,372.0,9.2327,34.54626276242015,50.74173913043478
2010,4,17,9.0,59.0,1041.0,10.0,474.8,472.0,7.9755,34.3988093550434,60.56695652173912
2010,4,17,9.0,59.0,1041.0,11.0,574.9,571.0,6.5824,34.25709255502016,76.13130434782609
2010,4,17,9.0,59.0,1041.0,12.0,675.1,670.0,5.7903,34.198749804626445,88.3904347826087
2010,4,17,9.0,59.0,1041.0,13.0,775.0,769.0,5.2817,34.189987468652,98.04347826086958
2010,4,17,9.0,59.0,1041.0,14.0,874.8,868.0,4.8941,34.219950248448356,107.2626086956522
2010,4,17,9.0,59.0,1041.0,15.0,974.7,967.0,4.6532,34.2853396431631,115.43739130434783
2010,4,17,9.0,59.0,1041.0,16.0,1027.5,1019.0,4.6247,34.3024382993532,116.89130434782611
