year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,3,23,6.0,1.0,5111.4,1.0,5.4,5.0,19.742,35.125444142409904,195.77913043478264
2010,3,23,6.0,1.0,5111.4,2.0,39.7,39.0,19.932,35.23189825016365,194.78521739130437
2010,3,23,6.0,1.0,5111.4,3.0,80.2,80.0,16.79,35.23388517946128,209.91130434782613
2010,3,23,6.0,1.0,5111.4,4.0,151.0,150.0,14.746,35.06518242206806,192.42608695652177
2010,3,23,6.0,1.0,5111.4,5.0,250.4,248.0,13.062,34.88401537145215,181.12695652173917
2010,3,23,6.0,1.0,5111.4,6.0,325.4,323.0,12.429,34.85403051128804,184.38782608695655
2010,3,23,6.0,1.0,5111.4,7.0,500.4,496.0,9.3539,34.37372735094184,164.17043478260874
2010,3,23,6.0,1.0,5111.4,8.0,649.7,644.0,6.7929,34.02622529394179,173.04608695652175
2010,3,23,6.0,1.0,5111.4,9.0,799.7,792.0,5.0245,33.87423461417477,176.95913043478262
2010,3,23,6.0,1.0,5111.4,10.0,1000.7,991.0,3.7254,33.83868107973205,175.82000000000002
2010,3,23,6.0,1.0,5111.4,11.0,1199.6,1187.0,3.1613,33.94966665185053,158.96
2010,3,23,6.0,1.0,5111.4,12.0,1399.7,1385.0,2.9199,34.11152144312159,147.56782608695656
2010,3,23,6.0,1.0,5111.4,13.0,1599.1,1581.0,2.8164,34.23608721412211,144.70347826086956
2010,3,23,6.0,1.0,5111.4,14.0,1799.1,1778.0,2.7649,34.33642357598928,146.7034782608696
2010,3,23,6.0,1.0,5111.4,15.0,2100.6,2075.0,2.6866,34.43438307194802,154.864347826087
2010,3,23,6.0,1.0,5111.4,16.0,2399.9,2369.0,2.5702,34.48835632847831,163.21826086956526
2010,3,23,6.0,1.0,5111.4,17.0,2699.4,2662.0,2.4399,34.509292285283045,166.3530434782609
2010,3,23,6.0,1.0,5111.4,18.0,2998.9,2956.0,2.3361,34.52319326424345,167.31391304347827
2010,3,23,6.0,1.0,5111.4,19.0,3299.3,3250.0,2.2225,34.52087954009366,166.52782608695654
2010,3,23,6.0,1.0,5111.4,20.0,3600.1,3543.0,1.9834,34.5,161.21652173913046
2010,3,23,6.0,1.0,5111.4,21.0,4000.0,3934.0,1.4179,34.43202079389977,151.9130434782609
2010,3,23,6.0,1.0,5111.4,22.0,4399.1,4322.0,1.1392,34.3988093550434,146.44260869565218
2010,3,23,6.0,1.0,5111.4,23.0,4800.0,4712.0,1.1258,34.39165838302693,142.5217391304348
2010,3,23,6.0,1.0,5111.4,24.0,5101.4,5004.0,1.1558,34.39165838302693,139.55304347826086
