year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,3,15,19.0,38.0,2433.2,1.0,6.0,6.0,3.9911,33.75176589303734,305.8252427184466
2010,3,15,19.0,38.0,2433.2,2.0,41.0,41.0,3.9901,33.752774974772954,305.7281553398058
2010,3,15,19.0,38.0,2433.2,3.0,69.5,69.0,3.982,33.75176589303734,304.75728155339806
2010,3,15,19.0,38.0,2433.2,4.0,99.4,99.0,3.9727,33.75378405650857,305.1456310679612
2010,3,15,19.0,38.0,2433.2,5.0,130.1,129.0,1.6141,33.93844601412714,294.2718446601942
2010,3,15,19.0,38.0,2433.2,6.0,160.1,159.0,1.101,34.044399596367306,273.68932038834953
2010,3,15,19.0,38.0,2433.2,7.0,192.3,191.0,1.3985,34.19778002018163,235.3398058252427
2010,3,15,19.0,38.0,2433.2,8.0,220.8,219.0,1.6858,34.322906155398584,204.27184466019418
2010,3,15,19.0,38.0,2433.2,9.0,250.2,248.0,1.8372,34.39656912209889,187.8640776699029
2010,3,15,19.0,38.0,2433.2,10.0,350.9,348.0,2.0557,34.52472250252271,167.37864077669903
2010,3,15,19.0,38.0,2433.2,11.0,449.0,445.0,2.1437,34.59636730575176,162.71844660194176
2010,3,15,19.0,38.0,2433.2,12.0,551.0,545.0,2.1037,34.650857719475276,163.20388349514565
2010,3,15,19.0,38.0,2433.2,13.0,650.3,644.0,2.1055,34.69424823410696,167.60194174757282
2010,3,15,19.0,38.0,2433.2,14.0,749.8,742.0,2.165,34.730575176589305,172.03883495145632
2010,3,15,19.0,38.0,2433.2,15.0,849.3,840.0,2.1997,34.75580221997981,176.50485436893206
2010,3,15,19.0,38.0,2433.2,16.0,951.4,941.0,2.0984,34.77598385469223,181.94174757281553
2010,3,15,19.0,38.0,2433.2,17.0,1150.3,1137.0,1.9885,34.789101917255294,186.89320388349515
2010,3,15,19.0,38.0,2433.2,18.0,1351.5,1335.0,1.7634,34.784056508577194,189.2233009708738
2010,3,15,19.0,38.0,2433.2,19.0,1551.4,1532.0,1.5514,34.779011099899094,191.74757281553397
2010,3,15,19.0,38.0,2433.2,20.0,1850.3,1826.0,1.3182,34.76589303733602,192.91262135922332
2010,3,15,19.0,38.0,2433.2,21.0,2150.6,2121.0,1.1137,34.75378405650857,194.5631067961165
2010,3,15,19.0,38.0,2433.2,22.0,2250.9,2219.0,1.0469,34.749747729566096,196.3106796116505
2010,3,15,19.0,38.0,2433.2,23.0,2350.0,2317.0,1.0137,34.744702320887995,195.53398058252426
2010,3,15,19.0,38.0,2433.2,24.0,2423.2,2388.0,0.9411,34.74167507568113,196.3106796116505
