year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,6,14.0,53.0,5621.2,1.0,4.6,5.0,26.86,36.28358446970205,170.91652173913047
2010,4,6,14.0,53.0,5621.2,2.0,50.7,50.0,22.185,36.00430874437258,199.29826086956524
2010,4,6,14.0,53.0,5621.2,3.0,100.7,100.0,14.17,35.18096376216491,59.385217391304344
2010,4,6,14.0,53.0,5621.2,4.0,149.4,148.0,12.378,34.92652091923859,50.440000000000005
2010,4,6,14.0,53.0,5621.2,5.0,249.8,248.0,10.938,34.737620521815366,34.001739130434785
2010,4,6,14.0,53.0,5621.2,6.0,348.9,347.0,9.6685,34.579497688091635,29.922608695652176
2010,4,6,14.0,53.0,5621.2,7.0,446.9,444.0,8.1571,34.3988093550434,36.02695652173913
2010,4,6,14.0,53.0,5621.2,8.0,600.3,596.0,6.3248,34.209987531152684,41.99739130434783
2010,4,6,14.0,53.0,5621.2,9.0,749.7,744.0,5.1908,34.12173431022552,76.95913043478261
2010,4,6,14.0,53.0,5621.2,10.0,896.5,889.0,4.4267,34.13319208785943,99.59565217391304
2010,4,6,14.0,53.0,5621.2,11.0,1099.1,1090.0,4.0466,34.268169121361595,119.74695652173914
2010,4,6,14.0,53.0,5621.2,12.0,1300.7,1289.0,3.9072,34.441462012089694,134.34173913043477
2010,4,6,14.0,53.0,5621.2,13.0,1599.0,1584.0,3.7234,34.5806392227619,160.0086956521739
2010,4,6,14.0,53.0,5621.2,14.0,1900.0,1881.0,3.4323,34.61361529814278,173.13043478260872
2010,4,6,14.0,53.0,5621.2,15.0,2199.6,2176.0,3.1317,34.61021541423999,175.91652173913045
2010,4,6,14.0,53.0,5621.2,16.0,2499.1,2470.0,2.8875,34.60113621693307,176.6165217391305
2010,4,6,14.0,53.0,5621.2,17.0,2801.3,2767.0,2.6969,34.59089968002003,173.5539130434783
2010,4,6,14.0,53.0,5621.2,18.0,3199.1,3157.0,2.5045,34.58178046004133,166.79043478260874
2010,4,6,14.0,53.0,5621.2,19.0,3599.6,3549.0,2.3659,34.57378554572581,163.39478260869566
2010,4,6,14.0,53.0,5621.2,20.0,3999.6,3940.0,2.3452,34.56921045499069,161.65565217391304
2010,4,6,14.0,53.0,5621.2,21.0,4400.2,4330.0,2.3601,34.56806593356831,159.82434782608698
2010,4,6,14.0,53.0,5621.2,22.0,4800.6,4720.0,2.3821,34.56463056855904,157.56000000000003
2010,4,6,14.0,53.0,5621.2,23.0,5201.0,5109.0,2.4082,34.56004587131833,155.64347826086959
2010,4,6,14.0,53.0,5621.2,24.0,5611.2,5507.0,2.4529,34.55889894354067,152.68521739130438
