year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,10,21.0,19.0,4843.0,1.0,5.1,5.0,28.822,35.37300686255102,167.26000000000002
2010,4,10,21.0,19.0,4843.0,2.0,40.3,40.0,23.668,35.69545266561364,183.91043478260872
2010,4,10,21.0,19.0,4843.0,3.0,80.2,80.0,16.807,35.40096144957833,100.69391304347826
2010,4,10,21.0,19.0,4843.0,4.0,123.2,122.0,13.637,35.08262224629348,78.84173913043479
2010,4,10,21.0,19.0,4843.0,5.0,199.8,199.0,12.567,34.94130783645188,72.17565217391305
2010,4,10,21.0,19.0,4843.0,6.0,274.8,273.0,11.28,34.76618002273235,72.30608695652174
2010,4,10,21.0,19.0,4843.0,7.0,348.6,346.0,10.464,34.659820624195554,69.31652173913044
2010,4,10,21.0,19.0,4843.0,8.0,425.6,423.0,8.8646,34.472001872658765,52.12521739130435
2010,4,10,21.0,19.0,4843.0,9.0,500.8,497.0,7.7865,34.348493702538306,54.775652173913045
2010,4,10,21.0,19.0,4843.0,10.0,649.7,645.0,5.818,34.14588393138977,85.56782608695652
2010,4,10,21.0,19.0,4843.0,11.0,800.4,794.0,4.8058,34.09615194775563,113.04000000000002
2010,4,10,21.0,19.0,4843.0,12.0,999.4,991.0,4.37,34.219950248448356,117.04869565217395
2010,4,10,21.0,19.0,4843.0,13.0,1199.9,1190.0,4.2319,34.44617474911243,139.47913043478263
2010,4,10,21.0,19.0,4843.0,14.0,1400.5,1388.0,4.1585,34.58178046004133,163.03913043478263
2010,4,10,21.0,19.0,4843.0,15.0,1599.6,1585.0,3.9224,34.632832051860305,180.00347826086957
2010,4,10,21.0,19.0,4843.0,16.0,1799.5,1782.0,3.7294,34.647471191587414,185.7434782608696
2010,4,10,21.0,19.0,4843.0,17.0,1999.7,1979.0,3.4223,34.639594576084626,187.56782608695656
2010,4,10,21.0,19.0,4843.0,18.0,2301.4,2276.0,3.1043,34.622668877499194,184.4226086956522
2010,4,10,21.0,19.0,4843.0,19.0,2499.7,2471.0,2.9027,34.607947368106835,181.9156521739131
2010,4,10,21.0,19.0,4843.0,20.0,2800.2,2766.0,2.7189,34.59886348958455,178.78086956521742
2010,4,10,21.0,19.0,4843.0,21.0,3100.2,3061.0,2.5746,34.58520238985614,175.38956521739132
2010,4,10,21.0,19.0,4843.0,22.0,3999.3,3940.0,2.3775,34.56806593356831,169.2234782608696
2010,4,10,21.0,19.0,4843.0,23.0,4381.1,4312.0,2.2901,34.55545634807651,167.3817391304348
2010,4,10,21.0,19.0,4843.0,24.0,4833.0,4752.0,2.2804,34.549712634186314,163.5391304347826
