year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,3,29,14.0,20.0,5145.4,1.0,5.9,6.0,23.513,35.73624421426656,181.94869565217394
2010,3,29,14.0,20.0,5145.4,2.0,30.1,30.0,23.509,35.73534100123922,181.9121739130435
2010,3,29,14.0,20.0,5145.4,3.0,70.5,70.0,18.937,35.54322000295702,208.95217391304348
2010,3,29,14.0,20.0,5145.4,4.0,100.0,99.0,17.463,35.44785670536076,203.304347826087
2010,3,29,14.0,20.0,5145.4,5.0,125.1,124.0,16.526,35.38844870842914,195.1730434782609
2010,3,29,14.0,20.0,5145.4,6.0,149.1,148.0,16.044,35.324451190127576,190.26869565217393
2010,3,29,14.0,20.0,5145.4,7.0,299.3,297.0,12.098,34.7453272709454,179.2234782608696
2010,3,29,14.0,20.0,5145.4,8.0,449.7,446.0,8.6847,34.29145450909575,158.43739130434787
2010,3,29,14.0,20.0,5145.4,9.0,599.5,595.0,6.308,34.05875627631495,138.52608695652177
2010,3,29,14.0,20.0,5145.4,10.0,801.0,794.0,4.3771,33.97888872553824,141.904347826087
2010,3,29,14.0,20.0,5145.4,11.0,1100.0,1090.0,3.6066,34.17240481320824,140.17391304347828
2010,3,29,14.0,20.0,5145.4,12.0,1400.8,1387.0,3.5156,34.38807831827438,152.68869565217395
2010,3,29,14.0,20.0,5145.4,13.0,1699.6,1682.0,3.3599,34.51277173056956,168.52521739130435
2010,3,29,14.0,20.0,5145.4,14.0,1998.3,1976.0,3.1275,34.56233882223744,178.88434782608698
2010,3,29,14.0,20.0,5145.4,15.0,2299.3,2272.0,2.8458,34.56004587131833,179.91913043478263
2010,3,29,14.0,20.0,5145.4,16.0,2399.2,2370.0,2.7287,34.554308211415446,179.4852173913044
2010,3,29,14.0,20.0,5145.4,17.0,2601.4,2569.0,2.5976,34.549712634186314,178.4226086956522
2010,3,29,14.0,20.0,5145.4,18.0,2766.0,2730.0,2.5189,34.549712634186314,177.68695652173915
2010,3,29,14.0,20.0,5145.4,19.0,2999.1,2959.0,2.4584,34.55315977193578,176.87739130434784
2010,3,29,14.0,20.0,5145.4,20.0,3399.2,3351.0,2.3943,34.56233882223744,170.4417391304348
2010,3,29,14.0,20.0,5145.4,21.0,3799.3,3742.0,2.3691,34.56806593356831,165.39739130434785
2010,3,29,14.0,20.0,5145.4,22.0,4201.0,4133.0,2.3778,34.56921045499069,161.55652173913046
2010,3,29,14.0,20.0,5145.4,23.0,4601.2,4523.0,2.4078,34.56806593356831,158.33739130434785
2010,3,29,14.0,20.0,5145.4,24.0,5135.4,5042.0,2.463,34.566921112179614,154.04000000000002
