year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,4,4,2.0,29.0,5509.2,1.0,5.5,5.0,25.01,36.80726538849647,198.44660194174756
2010,4,4,2.0,29.0,5509.2,2.0,40.1,40.0,21.864,36.32795156407669,243.0097087378641
2010,4,4,2.0,29.0,5509.2,3.0,79.5,79.0,18.919,36.20988900100908,171.55339805825244
2010,4,4,2.0,29.0,5509.2,4.0,149.4,148.0,13.636,35.39354187689202,74.5631067961165
2010,4,4,2.0,29.0,5509.2,5.0,209.9,209.0,11.843,35.153380423814326,56.310679611650485
2010,4,4,2.0,29.0,5509.2,6.0,270.1,268.0,10.704,35.033299697275474,46.31067961165048
2010,4,4,2.0,29.0,5509.2,7.0,350.4,348.0,9.3687,34.89303733602422,47.86407766990291
2010,4,4,2.0,29.0,5509.2,8.0,400.3,398.0,8.5675,34.808274470232085,53.68932038834951
2010,4,4,2.0,29.0,5509.2,9.0,499.3,496.0,7.3419,34.69323915237134,66.40776699029125
2010,4,4,2.0,29.0,5509.2,10.0,701.2,696.0,5.5629,34.55095862764884,101.06796116504853
2010,4,4,2.0,29.0,5509.2,11.0,900.1,893.0,4.3868,34.53380423814329,124.46601941747574
2010,4,4,2.0,29.0,5509.2,12.0,1099.2,1090.0,3.9268,34.636730575176585,145.04854368932038
2010,4,4,2.0,29.0,5509.2,13.0,1300.9,1289.0,3.775,34.78002018163471,164.85436893203885
2010,4,4,2.0,29.0,5509.2,14.0,1601.8,1586.0,3.655,34.910191725529764,195.53398058252426
2010,4,4,2.0,29.0,5509.2,15.0,1899.7,1880.0,3.4324,34.94752774974773,208.93203883495147
2010,4,4,2.0,29.0,5509.2,16.0,2198.4,2174.0,3.1568,34.95156407669021,216.11650485436894
2010,4,4,2.0,29.0,5509.2,17.0,2500.0,2471.0,2.906,34.94752774974773,219.80582524271844
2010,4,4,2.0,29.0,5509.2,18.0,2800.1,2765.0,2.7046,34.93945509586276,221.35922330097088
2010,4,4,2.0,29.0,5509.2,19.0,3100.0,3059.0,2.5632,34.931382441977796,218.3495145631068
2010,4,4,2.0,29.0,5509.2,20.0,3500.8,3452.0,2.4288,34.924318869828454,217.96116504854368
2010,4,4,2.0,29.0,5509.2,21.0,3900.1,3842.0,2.3807,34.92330978809284,220.00000000000003
2010,4,4,2.0,29.0,5509.2,22.0,4300.0,4232.0,2.3769,34.91927346115035,221.55339805825244
2010,4,4,2.0,29.0,5509.2,23.0,4800.8,4720.0,2.3955,34.91523713420787,223.3980582524272
2010,4,4,2.0,29.0,5509.2,24.0,5495.3,5394.0,2.4554,34.91120080726539,224.36893203883497
